20130407 19 12  54  1.53  0.511 0.414 0.0
20130407 20 27  62  1.45  0.484 0.392 0.0
20130407 22 06  74  1.28  0.428 0.346 0.0
20130407 22 20  77  1.26  0.421 0.341 0.0
20130407 23 29  84  1.32  0.441 0.357 0.0
20130408 00 54   8  0.71  0.237 0.192 0.0
20130408 01 24  12  0.00  0.000 0.000 0.0 not seen
20130426 17 47  11  1.81  0.598 0.485 0.090
20130426 22 23  39  1.01  0.333 0.271 0.189
20130427 21 45  36  1.29  0.426 0.345 0.131
20130428 00 01   1  0.24  0.079 0.064 0.228
20130428 20 38  28  1.59  0.525 0.425 0.081 
20130428 22 10  36  1.37  0.452 0.366 0.092
20130919 10 22  30  1.52  0.419 0.339 0.212
20130920  7 30  20  1.78  0.486 0.397 0.078
20140910 11 11  27  2.32  0.640 0.519 0.221
20140911 11 11  25  2.22  0.612 0.496 0.145
20140911 13 33  38  1.97  0.544 0.440 0.117
20140915 12 43  51  2.12  0.585 0.473 0.184
20140922 11 04  14  2.30  0.628 0.511 0.128
20140924 14 02  23  2.42  0.661 0.537 0.139
20141002 09 50  30  2.06  0.563 0.456 0.159
20141009 09 10  30  2.33  0.636 0.516 0.181
20141022 13 13  46  2.20  0.601 0.489 0.135
20141204 05 23  12  1.94  0.553 0.451 0.236
20150102 07 18  12  1.61  0.484 0.392 0.240
20150719 15 24  70  1.82  0.535 0.438 0.098
20150721 15  3  72  2.17  0.625 0.506 0.138
20150821 12 40  44  2.16  0.609 0.494 0.120
20150924  9 56  30  2.29  0.625 0.507 0.153
20151128  9  8  34  2.20  0.620 0.502 0.203
20151206  7 32  24  1.89  0.539 0.436 0.055
20151207 10 23  33  2.24  0.639 0.517 0.042
20151210  4 55  11  2.11  0.601 0.489 0.037
20160623 15 25  44  1.50  0.462 0.376 0.092
20160624 14 25  71  2.07  0.638 0.519 0.120
20160716 12 48  48  2.19  0.652 0.530 0.095
20160717 17 14 117  1.94  0.578 0.468 0.090
20160808 11 37  51  1.93  0.556 0.450 0.120
20160918 13 27  56  2.18  0.595 0.483 0.210
20161006 07 41  19  1.95  0.527 0.428 0.127
20161021 12 59  51  2.10  0.568 0.461 0.070
20161101 10 38  41  1.87  0.505 0.412 0.183
20161105 07 31  28  2.08  0.568 0.460 0.055
20161112 07 10  22  2.31  0.631 0.513 0.090
20161225 21 54  35  2.18  0.635 0.513 0.060
20170111 07 38  20  2.05  0.611 0.496 0.105
20170129 05 29  14  1.99  0.610 0.494 0.081
20170511 09 31  25  1.73  0.565 0.456 0.085
